Informazioni cronologiche,Nome utente (login) del bambino,Modalità di lettura,1. Quanto è stato facile per te leggere il testo?,Quanto è stato facile per te capire il testo?,2. Quanto ti sei sentito coinvolto dalla lettura? ,4. Quanto ti sei concentrato sul testo?,Cosa cambieresti per rendere la lettura ancora più facile o divertente in questa modalità?
2025/05/07 5:06:36 PM EEST,user7,1- Testo completo,2,1,1,3,no
2025/04/15 8:48:45 AM EET,user7,2- Solo Frasi,2,2,1,3,niente
2025/05/06 9:42:42 AM EEST,user7,3- Frasi e Pittogrammi,2,1,1,3,no
2025/04/15 8:47:30 AM EET,user7,"4- Frasi, Pittogrammi e Parole Chiave",2,3,2,3,niente
2025/07/08 5:39:47 PM EEST,user8,1- Testo completo,3,3,1,3,avrei messo parole facili
2025/07/08 5:00:01 PM EEST,user8,2- Solo Frasi,3,2,1,2,"Avrei messo una lettura dove si parlava di un topo e di un leone, sarebbe stata più bella e divertente.
"
2025/07/08 5:51:23 PM EEST,user8,3- Frasi e Pittogrammi,3,3,1,3,parole più semplici
2025/07/08 5:58:22 PM EEST,user8,"4- Frasi, Pittogrammi e Parole Chiave",3,3,1,3,"metterei ancora più immagini
"
2025/06/24 6:47:56 PM EEST,user9,1- Testo completo,3,2,2,3,LA LUNGHEZZA DEL TESTO - MENO LUNGO
2025/06/24 6:57:50 PM EEST,user9,2- Solo Frasi,2,1,1,1,METTEREI LE IMMAGINI
2025/06/24 6:39:30 PM EEST,user9,3- Frasi e Pittogrammi,2,2,2,3,SEMPLIFICARE ALCUNE PAROLE
2025/06/24 6:52:08 PM EEST,user9,"4- Frasi, Pittogrammi e Parole Chiave",3,3,3,3,NULLA
2025/05/05 4:13:40 PM EEST,user10,1- Testo completo,1,2,3,3,no
2025/05/05 3:52:21 PM EEST,user10,2- Solo Frasi,3,2,1,2,no
2025/05/05 3:42:40 PM EEST,user10,3- Frasi e Pittogrammi,2,3,3,2,testi più divertenti
2025/05/05 4:24:12 PM EEST,user10,"4- Frasi, Pittogrammi e Parole Chiave",3,3,3,2,no
2025/05/21 4:34:42 PM EEST,user11,1- Testo completo,2,2,2,2,Mettere parole che non sono difficili
2025/04/18 5:48:47 PM EET,user11,2- Solo Frasi,3,2,2,2,Non lo so proprio
2025/05/14 4:24:14 PM EEST,user11,3- Frasi e Pittogrammi,3,2,3,2,niente
2025/05/07 4:26:36 PM EEST,user11,"4- Frasi, Pittogrammi e Parole Chiave",1,1,1,2,"""Il problema che potrebbe risolvere non esattamente tutto è la voce del computer che legge!"""
2025/04/28 6:07:18 PM EEST,user12,1- Testo completo,2,1,2,3,"per me questa modalità era carina, ma con immagini e diviso in frasi mi sento di capire meglio"
2025/04/10 6:06:48 PM EET,user12,2- Solo Frasi,2,1,1,3,Forse è meglio con le immagini
2025/04/28 6:09:02 PM EEST,user12,3- Frasi e Pittogrammi,3,2,3,3,No non cambierei nulla
2025/04/10 5:44:35 PM EET,user12,"4- Frasi, Pittogrammi e Parole Chiave",2,2,1,3,Secondo me questa modalità va bene ed è più facile per chi non riesce a leggere bene. 
2025/06/26 4:06:51 PM EEST,user13,1- Testo completo,1,1,1,2,sottolineare le cose importanti
2025/07/07 7:00:16 PM EEST,user13,2- Solo Frasi,2,1,1,2,mettere immagini
2025/05/15 4:09:52 PM EEST,user13,3- Frasi e Pittogrammi,1,1,1,2,no
2025/06/26 3:24:34 PM EEST,user13,"4- Frasi, Pittogrammi e Parole Chiave",2,1,1,2,no
2025/04/24 10:57:07 AM EET,user14,1- Testo completo,2,3,3,3,evidenziare le frasi o le parole più importanti
2025/04/23 2:48:39 PM EET,user14,2- Solo Frasi,3,2,3,3,sarebbe più facile con le immagini (foto vere)
2025/04/23 2:37:26 PM EET,user14,3- Frasi e Pittogrammi,3,3,3,3,niente
2025/04/23 2:27:08 PM EET,user14,"4- Frasi, Pittogrammi e Parole Chiave",3,2,3,2,Niente
