Informazioni cronologiche,Nome dell'user,Modalità di visualizzazione,Modalità di lettura del bambino,Il bambino è tornato al testo completo durante la risposta alle domande?,"Se sì, specificare se una volta o più volte. ",Il bambino sembra a suo agio durante la lettura. ,La piattaforma ha funzionato in maniera efficace,"Se hai selezionato totalmente in disaccordo o in disaccordo, puoi specificare cosa non ha funzionato?",Il bambino è attento durante la lettura,Il bambino si è mostrato motivato nel svolgere la lettura,Il bambino ha richiesto un supporto da parte dell'operatore,"Se hai selezionato d'accordo o totalmente d'accordo, puoi specificare quale tipo di supporto è stato richiesto?",Il bambino ha mostrato segni di affaticamento nel svolgere l'attività,Il bambino ha mostrato segni di frustrazione nella lettura
2025/05/14 4:26:05 PM EEST,user11,3- Frasi e Pittogrammi,Ad alta voce,Sì,"Più volte, quasi sempre",Totalmente d'accordo,Totalmente d'accordo,,Totalmente d'accordo,Totalmente d'accordo,Totalmente in disaccordo,,Totalmente in disaccordo,Totalmente in disaccordo
2025/05/07 4:31:17 PM EEST,user11 ,"4- Frasi, Pittogrammi e Parole Chiave",Ad alta voce;Con la sintesi,Sì,Ad ogni domanda,Totalmente in disaccordo,In disaccordo,"Spesso la sintesi vocale non ripartiva più , se messa in pausa per un attimo ",D'accordo,In disaccordo,Totalmente d'accordo,Per chiedere il significato di numerose parole e per richiedere aiuto nella ricerca delle risposte all’interno del testo,Totalmente d'accordo,Totalmente d'accordo
2025/04/30 1:54:18 PM EEST,user12,1- Testo completo,Con la sintesi,Sì,è tornata al testo completo una sola volta,Neutro,In disaccordo,La sintesi non era sincronizzata con l'illuminazione del testo,D'accordo,Neutro,In disaccordo,,Neutro,In disaccordo
2025/04/11 9:43:45 AM EET,user12,2- Solo Frasi,Con la sintesi,Sì,"Una volta, nella prima domanda",Neutro,In disaccordo,L'evidenziazione delle parole con la sintesi vocale si è bloccata,Neutro,Neutro,D'accordo,"La bambina chiede aiuto rispetto al contenuto di una domanda,  viene incoraggiata a continuare in autonomia.  ",D'accordo,Neutro
2025/04/30 1:56:35 PM EEST,user12,3- Frasi e Pittogrammi,Con la sintesi,Sì,Una volta,D'accordo,In disaccordo,Una volta letta la frase con la sintesi la frase è rimasta tutta evidenziata anche durante un secondo ascolto della frase. ,D'accordo,D'accordo,In disaccordo,,In disaccordo,In disaccordo
2025/04/10 5:47:26 PM EET,user12,"4- Frasi, Pittogrammi e Parole Chiave",A mente,Sì,è  tornata due volte nelle domande in cui non si ricordava un'informazione,D'accordo,Totalmente d'accordo,,D'accordo,D'accordo,In disaccordo,,In disaccordo,In disaccordo
2025/07/07 7:01:41 PM EEST,user13,1- Testo completo,Ad alta voce,Sì,2 volte,Neutro,Totalmente d'accordo,,Neutro,In disaccordo,D'accordo,per tornare sul testo,D'accordo,In disaccordo
2025/06/26 3:26:04 PM EEST,user13,2- Solo Frasi,Con la sintesi,Sì,3 volte,Neutro,D'accordo,,D'accordo,Neutro,Neutro,,D'accordo,In disaccordo
2025/04/17 3:40:30 PM EET,user13,3- Frasi e Pittogrammi,Con la sintesi,Sì,una volta (ma non ha trovato l'informazione,D'accordo,Neutro,alcune immagini non erano perfettamente concruenti con la parola (vd macchinista)ti,D'accordo,Neutro,In disaccordo,,Neutro,In disaccordo
2025/05/15 4:10:52 PM EEST,user13,"4- Frasi, Pittogrammi e Parole Chiave",Con la sintesi,Sì,una volta,Neutro,D'accordo,,D'accordo,In disaccordo,In disaccordo,,Neutro,In disaccordo
2025/04/24 10:58:30 AM EET,user14,1- Testo completo,Ad alta voce,No,,D'accordo,Totalmente d'accordo,,Totalmente d'accordo,Neutro,Totalmente in disaccordo,,Neutro,Totalmente in disaccordo
2025/04/23 4:40:28 PM EET,user14,2- Solo Frasi,Ad alta voce,No,,D'accordo,Totalmente d'accordo,,D'accordo,Neutro,Totalmente in disaccordo,,Neutro,Totalmente in disaccordo
2025/04/23 2:38:47 PM EET,user14,3- Frasi e Pittogrammi,Ad alta voce,No,,Totalmente d'accordo,Totalmente d'accordo,,Totalmente d'accordo,Neutro,Totalmente in disaccordo,,Totalmente in disaccordo,Totalmente in disaccordo
2025/04/23 2:29:12 PM EET,user14,"4- Frasi, Pittogrammi e Parole Chiave",Ad alta voce,No,,Totalmente d'accordo,Totalmente d'accordo,,Totalmente d'accordo,D'accordo,Totalmente in disaccordo,,In disaccordo,Totalmente in disaccordo
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
